Company,Model,Fuel,SeatsBand,EngineBand,peer_id,hp,tq,vmax,acc_sec,cc,price,log_price,z_hp,z_tq,z_vmax,z_acc,z_eff,z_price,perf,price_index,VFM_ratio,VFM_diff,price_pred,price_resid,overpriced_pct
Mazda,RX-7 Spirit R,Petrol,2,small,Petrol | 2 | small,274.25,287,249,5.6,1300,37250,10.52540722,1.892638037,1.382198953,1.227586207,0.8909090909,-0.2,0.7508100907,1.352562163,2.118715674,0.6383877648,0.6017520723,10.4876443,0.03776292025,3.848499993
FERRARI,ROMA SPIDER,Petrol,4–5,large,Petrol | 4–5 | large,612,760,320,3.4,3900,240000,12.3883942,0.3638095238,0.2586713698,0.9150326797,0.6262626263,0.03547042653,0.56373693,0.4891001898,1.75722688,0.2783363921,-0.07463674017,12.35042833,0.03796586921,3.869578077
AUDI,A7,Petrol,4–5,mid,Petrol | 4–5 | mid,335,600,250,5.7,2995,68000,11.12726298,0.8933333333,1.451027811,0.6666666667,0.5511811024,-1.105555556,1.087462841,0.791164005,2.966737432,0.2666781349,-0.2962988363,11.0891874,0.03807557951,3.880974265
Volkswagen,Passat Alltrack TDI,Diesel,4–5,mid,Diesel | 4–5 | mid,190,400,220,8,2000,40000,10.59663473,0.2912621359,0.3448275862,0.8,0.3496503497,0,0.5111963101,0.4008373347,1.667284592,0.2404132664,-0.1103589753,10.55844774,0.03818698815,3.892548147
Mazda,Xedos 6,Petrol,4–5,mid,Petrol | 4–5 | mid,170,230,215,8.5,2500,27500,10.22194128,-0.2066666667,-0.338573156,0.08333333333,-0.3307086614,-0.5555555556,-0.2186402865,-0.2173008079,0.8036107358,-0.2704055561,0.00133947855,10.18337394,0.03856734152,3.932071544
Porsche,Macan S,Petrol,4–5,mid,Petrol | 4–5 | mid,375,520,259,4.8,2900,75000,11.22524339,1.16,1.064087062,0.8166666667,0.8346456693,-1,1.22881869,0.8990798795,3.417190392,0.2631050005,-0.329738811,11.18611855,0.03912483991,3.990029661
Volkswagen,T-Cross R-Line,Petrol,4–5,mid,Petrol | 4–5 | mid,150,250,200,8.5,1500,27000,10.20359214,-0.34,-0.2418379686,-0.1666666667,-0.3307086614,0.5555555556,-0.2451124978,-0.2390648816,0.7826164906,-0.3054687505,0.006047616285,10.16382523,0.03976691753,4.056820771
Nissan,Skyline 50th Anniversary,Petrol,4–5,mid,Petrol | 4–5 | mid,400,475,250,4.5,3000,75000,11.22524339,1.326666667,0.84643289,0.6666666667,0.9291338583,-1.111111111,1.22881869,0.8972244608,3.417190392,0.2625620343,-0.3315942297,11.184452,0.04079139612,4.163479382
Volkswagen,Vento,Petrol,4–5,mid,Petrol | 4–5 | mid,105,153,186,11.7,1600,18000,9.798127037,-0.64,-0.7110036276,-0.4,-1.338582677,0.4444444444,-0.8300749986,-0.6916950387,0.4360165845,-1.586396168,0.1383799598,9.757268167,0.04085886988,4.170507921
Volkswagen,Arteon Shooting Brake,Petrol,4–5,mid,Petrol | 4–5 | mid,235,420,250,5.6,2000,50000,10.81977828,0.2266666667,0.5804111245,0.6666666667,0.5826771654,0,0.6438561898,0.4452843246,1.903808188,0.2338913801,-0.1985718651,10.77851472,0.04126356446,4.212673692
Volkswagen,Arteon R-Line,Petrol,4–5,mid,Petrol | 4–5 | mid,235,420,250,5.6,2000,50000,10.81977828,0.2266666667,0.5804111245,0.6666666667,0.5826771654,0,0.6438561898,0.4452843246,1.903808188,0.2338913801,-0.1985718651,10.77851472,0.04126356446,4.212673692
Nissan,Qashqai e-Power,Hybrid,4–5,mid,Hybrid | 4–5 | mid,187,330,200,7.5,1500,40000,10.59663473,-0.3703703704,-0.1176470588,0,0,0.332594235,-0.04833863346,-0.1365293296,0.9528110787,-0.1432910812,-0.08819069618,10.55500889,0.0416258475,4.250435016
Mitsubishi,Outlander,Petrol,6–7,mid,Petrol | 6–7 | mid,181,245,190,9.5,2500,31500,10.35774282,0,-0.003361344538,0,0,-0.106,-0.08442324986,-0.005972268908,0.9190421893,-0.006498362074,0.07845098095,10.31527742,0.04246540977,4.337996499
Cadillac,Escalade,Petrol,6–7,large,Petrol | 6–7 | large,420,624,210,6.8,6200,79295,11.28093035,1.009174312,0.865,0.25,0.25,-0.95,0.7663801631,0.5787110092,2.151962385,0.2689224557,-0.1876691539,11.23744871,0.04348164264,4.444082096
